trip_id,trip_start_timestamp,pickup_centroid_latitude,pickup_centroid_longitude,pickup_centroid_location,dropoff_centroid_latitude,dropoff_centroid_longitude,dropoff_centroid_location,the_geom
3f69b8cc13491969e897c53bafc184bc810bcc5c,2021-01-31T22:45:00.000,41.8906088526,-87.7560467111,POINT (-87.7560467111 41.8906088526),41.8906088526,-87.7560467111,POINT (-87.7560467111 41.8906088526),000000000200000002C055F06311BE9B104044F1FF788BB8F9C055F06311BE9B104044F1FF788BB8F9
f459e3bf9a5dfa0f2e8b1035431f553e90ff5a4f,2021-01-31T22:45:00.000,41.899602111,-87.6333080367,POINT (-87.6333080367 41.899602111),41.9226862843,-87.6494887289,POINT (-87.6494887289 41.9226862843),000000000200000002C055E8881E6E7AE94044F3262977142BC055E991392C6FC04044F61A958BC4A4
f87bfd6a3f13df7263d7e6424966a850c20d6bed,2021-01-31T22:45:00.000,41.7402057565,-87.6159695226,POINT (-87.6159695226 41.7402057565),41.7615779081,-87.5727819867,POINT (-87.5727819867 41.7615779081),000000000200000002C055E76C0B6EB9954044DEBF0FEE3D3EC055E4A875C727524044E17B628852A3
c2ce684b0c150b0bb8d77837dc998d2463dacf93,2021-01-31T22:45:00.000,41.8853000224,-87.6428084655,POINT (-87.6428084655 41.8853000224),41.9002212967,-87.6291051864,POINT (-87.6291051864 41.9002212967),000000000200000002C055E923C61E3A864044F15182D9AD94C055E8434266553F4044F33A73923E9F
5222cd5a7f71cd1177e50f807e317a24c4143add,2021-01-31T22:45:00.000,41.8563332167,-87.6595642391,POINT (-87.6595642391 41.8563332167),41.8563332167,-87.6595642391,POINT (-87.6595642391 41.8563332167),000000000200000002C055EA364CED22EC4044ED9C53AC1A3DC055EA364CED22EC4044ED9C53AC1A3D
485c44574ae4c029df03bd6f1a651a20394397f4,2021-01-31T22:45:00.000,41.9850151008,-87.8045320063,POINT (-87.8045320063 41.9850151008),41.9386661962,-87.7112105933,POINT (-87.7112105933 41.9386661962),000000000200000002C055F37D73CFE9334044FE14F98E0046C055ED84796FB2B44044F82636C34516
01f0feb13aefa710d685461b8c72ef639e7707a5,2021-01-31T22:45:00.000,41.6906333472,-87.5700582686,POINT (-87.5700582686 41.6906333472),41.7174930361,-87.6488950721,POINT (-87.6488950721 41.7174930361),000000000200000002C055E47BD5AD1CE34044D866AC6BE021C055E9877F324D204044DBD6CFD29421
47d3dfe3b469f48508f51ce7f3b7fe94409c8bbb,2021-01-31T22:45:00.000,41.7437209115,-87.6195429239,POINT (-87.6195429239 41.7437209115),41.740997711,-87.6011081642,POINT (-87.6011081642 41.740997711),000000000200000002C055E7A6975D27994044DF323F301F35C055E6788E60A63F4044DED9035393F3
9dee60c07ec5ea93f68402abb064b70eb93c812d,2021-01-31T22:45:00.000,41.9442266014,-87.6559981815,POINT (-87.6559981815 41.9442266014),41.8788655841,-87.6251921424,POINT (-87.6251921424 41.8788655841),000000000200000002C055E9FBDFCBF1CA4044F8DC6AD2835BC055E80325E754BF4044F07EAADEA50C
a803397667b0fb458fcf80bdc0b022b0e93b38fd,2021-01-31T22:45:00.000,42.0076125931,-87.8137810343,POINT (-87.8137810343 42.0076125931),41.9465114202,-87.8060200025,POINT (-87.8060200025 41.9465114202),000000000200000002C055F414FD0C1B1C404500F9730F337DC055F395D4EBAA334044F92749458656
