"trip_id","trip_start_timestamp","trip_end_timestamp","trip_seconds","trip_miles","pickup_census_tract","dropoff_census_tract","pickup_community_area","dropoff_community_area","fare","tip","additional_charges","trip_total","shared_trip_authorized","trips_pooled","pickup_centroid_latitude","pickup_centroid_longitude","pickup_centroid_location","dropoff_centroid_latitude","dropoff_centroid_longitude","dropoff_centroid_location"
"8dad9894df59a697a7674fc0ddf8d42ce1871391","2021-01-31T23:45:00.000","2021-01-31T23:45:00.000","481","1.6836",,,"6","3","12.5","0","3.1","15.6","false","1","41.9442266014","-87.6559981815","POINT (-87.6559981815 41.9442266014)","41.96581197","-87.6558787862","POINT (-87.6558787862 41.96581197)"
"098c74cc8e4fd2bf3d493e94b1b3348606902415","2021-01-31T23:45:00.000","2021-02-01T00:00:00.000","549","1.6651",,,"22","21","2.5","0","3.1","5.6","false","1","41.9227606205","-87.6991553432","POINT (-87.6991553432 41.9227606205)","41.9386661962","-87.7112105933","POINT (-87.7112105933 41.9386661962)"
"7eda9e9e188538f947d03a38e40995c53914dc03","2021-01-31T23:45:00.000","2021-01-31T23:45:00.000","652","2.9476",,,"36","59","12.5","0","4.53","17.03","false","1","41.8237128095","-87.6023504372","POINT (-87.6023504372 41.8237128095)","41.8299223039","-87.6725026464","POINT (-87.6725026464 41.8299223039)"
"f3f105cfad74b74c49bf40cac5aaeb2f35970ba9","2021-01-31T23:45:00.000","2021-02-01T00:00:00.000","986","7.9334",,,"35","24","15","0","4.51","19.509999999999998","false","1","41.8351179863","-87.6186777673","POINT (-87.6186777673 41.8351179863)","41.9012069941","-87.6763559892","POINT (-87.6763559892 41.9012069941)"
"f6bd5439e318a03918da442845ea868f8e6b1e3a","2021-01-31T23:45:00.000","2021-02-01T00:00:00.000","911","3.7184",,,"68","63","10","0","3.56","13.56","false","1","41.7771962546","-87.6424975271","POINT (-87.6424975271 41.7771962546)","41.795430631","-87.6964352325","POINT (-87.6964352325 41.795430631)"
"92667cc4200764d559e6c8642f7269b6e557957f","2021-01-31T23:45:00.000","2021-02-01T00:00:00.000","652","3.2381",,,"28","8","15","1","3.96","19.96","false","1","41.874005383","-87.6635175498","POINT (-87.6635175498 41.874005383)","41.899602111","-87.6333080367","POINT (-87.6333080367 41.899602111)"
"652269f626eaf1693235ebed2dd7ce61734e9836","2021-01-31T23:45:00.000","2021-02-01T00:00:00.000","548","2.1106",,,"6","3","10","0","3.1","13.1","false","1","41.9442266014","-87.6559981815","POINT (-87.6559981815 41.9442266014)","41.96581197","-87.6558787862","POINT (-87.6558787862 41.96581197)"
"0dba907a6d18d40f2cf17d3822eff568b778e929","2021-01-31T23:45:00.000","2021-01-31T23:45:00.000","372","0.7963",,,"25","25","12.5","0","3.1","15.6","false","1","41.8906088526","-87.7560467111","POINT (-87.7560467111 41.8906088526)","41.8906088526","-87.7560467111","POINT (-87.7560467111 41.8906088526)"
"0d161a241a051a1480fdbc6789044339a796566a","2021-01-31T23:45:00.000","2021-02-01T00:00:00.000","426","1.8104",,,"72","73","7.5","0","5.35","12.85","false","1","41.713148612","-87.6750753124","POINT (-87.6750753124 41.713148612)","41.7174930361","-87.6488950721","POINT (-87.6488950721 41.7174930361)"
"b877153b46661b9810689d8c722c174dc8bef3e0","2021-01-31T23:45:00.000","2021-02-01T00:00:00.000","264","0.9624",,,"28","28","2.5","0","3.1","5.6","false","1","41.874005383","-87.6635175498","POINT (-87.6635175498 41.874005383)","41.874005383","-87.6635175498","POINT (-87.6635175498 41.874005383)"
"da3add11db9436b686ec4969ea9b93dde555cca9","2021-01-31T23:45:00.000","2021-02-01T00:00:00.000","571","2.3575",,,"29",,"7.5","0","3.81","11.31","false","1","41.8601900192","-87.7172201","POINT (-87.7172201 41.8601900192)",,,
"cb2efc3041848a3903a3ea79550bc3a47879c20b","2021-01-31T23:45:00.000","2021-01-31T23:45:00.000","358","1.3159",,,"25","25","12.5","0","3.43","15.93","false","1","41.8906088526","-87.7560467111","POINT (-87.7560467111 41.8906088526)","41.8906088526","-87.7560467111","POINT (-87.7560467111 41.8906088526)"
"ac449b61e777afb95bf4885fc980e6818d1dd64c","2021-01-31T23:45:00.000","2021-02-01T00:00:00.000","777","2.3593",,,"28","31","12.5","5","3.46","20.96","false","1","41.874005383","-87.6635175498","POINT (-87.6635175498 41.874005383)","41.8502663663","-87.667569312","POINT (-87.667569312 41.8502663663)"
"1ef5b65c4f51bac29eed28c13ed4d99996c0fae0","2021-01-31T23:45:00.000","2021-02-01T00:00:00.000","1157","7.2294",,,"8","22","20","5","3.1","28.1","false","1","41.899602111","-87.6333080367","POINT (-87.6333080367 41.899602111)","41.9227606205","-87.6991553432","POINT (-87.6991553432 41.9227606205)"
"e9f07b2a67d415197a2b078dcd8482595812a8bb","2021-01-31T23:45:00.000","2021-02-01T00:00:00.000","961","5.5635",,,"69","49","27.5","0","4.07","31.57","false","1","41.7632467988","-87.6161341112","POINT (-87.6161341112 41.7632467988)","41.7065878819","-87.6233665115","POINT (-87.6233665115 41.7065878819)"
"868380d3fddb6707fd2f8048005a1ad04d103ade","2021-01-31T23:45:00.000","2021-02-01T00:00:00.000","606","2.5825",,,"2","1","7.5","0","3.15","10.65","false","1","42.001571027","-87.6950125892","POINT (-87.6950125892 42.001571027)","42.0096228806","-87.6701668569","POINT (-87.6701668569 42.0096228806)"
"44506f945044259d41e62ae8dbf9aa6282e3e0b5","2021-01-31T23:45:00.000","2021-02-01T00:00:00.000","859","3.6782",,,"20","24","10","0","4.09","14.09","false","1","41.9243470769","-87.7347397536","POINT (-87.7347397536 41.9243470769)","41.9012069941","-87.6763559892","POINT (-87.6763559892 41.9012069941)"
"393de29bdaa52c34bc6e84e82ea35a47b950d625","2021-01-31T23:45:00.000","2021-02-01T00:00:00.000","856","6.985",,,"24","60","12.5","0","3.1","15.6","false","1","41.9012069941","-87.6763559892","POINT (-87.6763559892 41.9012069941)","41.8361501547","-87.6487879519","POINT (-87.6487879519 41.8361501547)"
"132968da01554f9e8d031846e0ed6a98780fa784","2021-01-31T23:45:00.000","2021-01-31T23:45:00.000","799","3.6828",,,"28","23","15","0","3.54","18.54","false","1","41.874005383","-87.6635175498","POINT (-87.6635175498 41.874005383)","41.9000696026","-87.7209182385","POINT (-87.7209182385 41.9000696026)"
"b934b347d09f2940da2d87c4252027857787096b","2021-01-31T23:45:00.000","2021-02-01T00:00:00.000","246","1.1009",,,"41","42","17.5","0","3.6","21.1","false","1","41.794090253","-87.592310855","POINT (-87.592310855 41.794090253)","41.7788768603","-87.5949254391","POINT (-87.5949254391 41.7788768603)"
"fa56c3034946ae850258a68acfadc5d4691b32db","2021-01-31T23:45:00.000","2021-02-01T00:00:00.000","1028","4.4969",,,"77","6","10","0","3.71","13.71","false","1","41.9867117999","-87.6634164054","POINT (-87.6634164054 41.9867117999)","41.9442266014","-87.6559981815","POINT (-87.6559981815 41.9442266014)"
"bc36cf23a7e015c9b944444f032af6e9580a5ca5","2021-01-31T23:45:00.000","2021-01-31T23:45:00.000","544","2.2018",,,"24","28","10","0","3.6","13.6","false","1","41.9012069941","-87.6763559892","POINT (-87.6763559892 41.9012069941)","41.874005383","-87.6635175498","POINT (-87.6635175498 41.874005383)"
"d56d24f3c19c38ccce39cdf42f64f24a5a2f4009","2021-01-31T23:45:00.000","2021-01-31T23:45:00.000","297","1.0976",,,"3","77","5","0","3.11","8.11","false","1","41.96581197","-87.6558787862","POINT (-87.6558787862 41.96581197)","41.9867117999","-87.6634164054","POINT (-87.6634164054 41.9867117999)"
"8d21c1c8d6b60098972c94c3eb9430c672e581ad","2021-01-31T23:45:00.000","2021-02-01T00:00:00.000","573","4.8868",,,"6","8","10","0","3.1","13.1","false","1","41.9442266014","-87.6559981815","POINT (-87.6559981815 41.9442266014)","41.899602111","-87.6333080367","POINT (-87.6333080367 41.899602111)"
"a97930f2c9d662296af798fdf2e7c26d02e0ecc8","2021-01-31T23:45:00.000","2021-02-01T00:00:00.000","529","2.2068",,,"6","3","10","0","3.1","13.1","false","1","41.9442266014","-87.6559981815","POINT (-87.6559981815 41.9442266014)","41.96581197","-87.6558787862","POINT (-87.6558787862 41.96581197)"
"e838d6e2dc6b15a25c11960b561686d6ddce51a9","2021-01-31T23:45:00.000","2021-02-01T00:00:00.000","810","7.0925",,,"8","21","15","0","3.1","18.1","false","1","41.899602111","-87.6333080367","POINT (-87.6333080367 41.899602111)","41.9386661962","-87.7112105933","POINT (-87.7112105933 41.9386661962)"
"0ac2fea5492279111c6fc8ef3ae92a69d044285c","2021-01-31T23:45:00.000","2021-01-31T23:45:00.000","791","1.8536","17031839100","17031081403","32","8","7.5","0","3.1","10.6","false","1","41.8809944707","-87.6327464887","POINT (-87.6327464887 41.8809944707)","41.8909220259","-87.6188683546","POINT (-87.6188683546 41.8909220259)"
"f3a67789cdafc092a546212de3f5dd47f29ab2b9","2021-01-31T23:45:00.000","2021-02-01T00:00:00.000","622","2.3506",,,"58","61","12.5","1","3.57","17.07","false","1","41.8173662079","-87.6988607973","POINT (-87.6988607973 41.8173662079)","41.8090182499","-87.6591665992","POINT (-87.6591665992 41.8090182499)"
"0e327df093ba3145636ddf08155f52a2d334ba80","2021-01-31T23:45:00.000","2021-02-01T00:00:00.000","643","3.5795",,,"28","24","22.5","0","3.1","25.6","false","1","41.874005383","-87.6635175498","POINT (-87.6635175498 41.874005383)","41.9012069941","-87.6763559892","POINT (-87.6763559892 41.9012069941)"
