the_geom,trip_start_timestamp,pickup_centroid_latitude,pickup_centroid_longitude,pickup_centroid_location,dropoff_centroid_latitude,dropoff_centroid_longitude,dropoff_centroid_location
000000000200000002C055EB0A488A30BC4044EA3AE4E0BC59C055EDE6EF22622B4044EE1AB4E067A1,2021-01-31T23:15,41.8299223039,-87.6725026464,POINT (41.8299223039 -87.6725026464),41.8601900192,-87.7172201,POINT (41.8601900192 -87.7172201)
000000000200000002C055E7B38FFEC5804044EDB8335F7553C055EDB23D0612354044EB673321ABD1,2021-01-31T23:15,41.8571838585,-87.6203346241,POINT (41.8571838585 -87.6203346241),41.8390869059,-87.714003807,POINT (41.8390869059 -87.714003807)
000000000200000002C055EA7712502DA34044EFDF688C41A8C055F0FDFA757E3C4044F6B07CAB5D78,2021-01-31T23:15,41.874005383,-87.6635175498,POINT (41.874005383 -87.6635175498),41.9272609555,-87.7655016086,POINT (41.9272609555 -87.7655016086)
000000000200000002C055F15ACB96498C4044FD4A4931B1B0C055F0DB879CA1494044FA1D93F752B9,2021-01-31T23:15,41.9788295262,-87.771166703,POINT (41.9788295262 -87.771166703),41.9540276487,-87.7633990316,POINT (41.9540276487 -87.7633990316)
000000000200000002C055EA756A1534AA4044FE4C927F92EBC055EB0A488A30BC4044EA3AE4E0BC59,2021-01-31T23:15,41.9867117999,-87.6634164054,POINT (41.9867117999 -87.6634164054),41.8299223039,-87.6725026464,POINT (41.8299223039 -87.6725026464)
000000000200000002C055E7B38FFEC5804044EDB8335F7553C055E985BDE6DCC24044EB06F7E07DAD,2021-01-31T23:15,41.8571838585,-87.6203346241,POINT (41.8571838585 -87.6203346241),41.8361501547,-87.6487879519,POINT (41.8361501547 -87.6487879519)
000000000200000002C055E8881E6E7AE94044F3262977142BC055EEBC20CB9D3A4044F075C7A82BCB,2021-01-31T23:15,41.899602111,-87.6333080367,POINT (41.899602111 -87.6333080367),41.8785943576,-87.7302324284,POINT (41.8785943576 -87.7302324284)
000000000200000002C055E80325E754BF4044F07EAADEA50CC055ED55DD1B64E54044DF74FD1D9B9E,2021-01-31T23:15,41.8788655841,-87.6251921424,POINT (41.8788655841 -87.6251921424),41.7457577128,-87.7083657043,POINT (41.7457577128 -87.7083657043)
000000000200000002C055EACD8730EB984044F8FB586BF5F4C055E94DE2B9829F4044FB28AB583B89,2021-01-31T23:15,41.9451704528,-87.6687944391,POINT (41.9451704528 -87.6687944391),41.962178629,-87.6453787624,POINT (41.962178629 -87.6453787624)
000000000200000002C055EA756A1534AA4044FE4C927F92EBC055E991392C6FC04044F61A958BC4A4,2021-01-31T23:15,41.9867117999,-87.6634164054,POINT (41.9867117999 -87.6634164054),41.9226862843,-87.6494887289,POINT (41.9226862843 -87.6494887289)
000000000200000002C055E8930542B8764044EBC926733308C055ED55DD1B64E54044DF74FD1D9B9E,2021-01-31T23:15,41.8420761168,-87.6339734222,POINT (41.8420761168 -87.6339734222),41.7457577128,-87.7083657043,POINT (41.7457577128 -87.7083657043)
000000000200000002C055EDAFC616F43A4044F14A25B8A147C055EC6DBACE631E4044F3459009D14F,2021-01-31T23:15,41.8850752975,-87.7138533806,POINT (41.8850752975 -87.7138533806),41.9005603836,-87.6941973701,POINT (41.9005603836 -87.6941973701)
000000000200000002C055EA7712502DA34044EFDF688C41A8C055ECBA22A3370A4044E89F74B5E49D,2021-01-31T23:15,41.874005383,-87.6635175498,POINT (41.874005383 -87.6635175498),41.8173662079,-87.6988607973,POINT (41.8173662079 -87.6988607973)
000000000200000002C055EA7712502DA34044EFDF688C41A8C055E9877F324D204044DBD6CFD29421,2021-01-31T23:15,41.874005383,-87.6635175498,POINT (41.874005383 -87.6635175498),41.7174930361,-87.6488950721,POINT (41.7174930361 -87.6488950721)
000000000200000002C055E8930542B8764044EBC926733308C055E78B034F45014044E80EB5F99748,2021-01-31T23:15,41.8420761168,-87.6339734222,POINT (41.8420761168 -87.6339734222),41.8129489392,-87.6178596758,POINT (41.8129489392 -87.6178596758)
000000000200000002C055E78B034F45014044E80EB5F99748C055E80325E754BF4044F07EAADEA50C,2021-01-31T23:15,41.8129489392,-87.6178596758,POINT (41.8129489392 -87.6178596758),41.8788655841,-87.6251921424,POINT (41.8788655841 -87.6251921424)
000000000200000002C055ED55DD1B64E54044DF74FD1D9B9EC055E91EADF2A9F24044E37B2AB80A54,2021-01-31T23:15,41.7457577128,-87.7083657043,POINT (41.7457577128 -87.7083657043),41.7771962546,-87.6424975271,POINT (41.7771962546 -87.6424975271)
000000000200000002C055EF05F9E3321E4044F6510148B827C055ECBEF60D77884044F61D051F8AC6,2021-01-31T23:15,41.9243470769,-87.7347397536,POINT (41.9243470769 -87.7347397536),41.9227606205,-87.6991553432,POINT (41.9227606205 -87.6991553432)
000000000200000002C055E95CDF4FF96B4044F6EC04400CA8C055EB723659F66F4044FC7CEDE1F04B,2021-01-31T23:15,41.9290776551,-87.6462934762,POINT (41.9290776551 -87.6462934762),41.9725625375,-87.6788459662,POINT (41.9725625375 -87.6788459662)
000000000200000002C055F06311BE9B104044F1FF788BB8F9C055EA7712502DA34044EFDF688C41A8,2021-01-31T23:15,41.8906088526,-87.7560467111,POINT (41.8906088526 -87.7560467111),41.874005383,-87.6635175498,POINT (41.874005383 -87.6635175498)
000000000200000002C055EC85CC1EF4594044E2CBEEA12005C055EE8604BF01884044E2881661DCB8,2021-01-31T23:15,41.7718485152,-87.695666342,POINT (41.7718485152 -87.695666342),41.7697780588,-87.7269298425,POINT (41.7697780588 -87.7269298425)
000000000200000002C055EDB23D0612354044EB673321ABD1C055E7B38FFEC5804044EDB8335F7553,2021-01-31T23:15,41.8390869059,-87.714003807,POINT (41.8390869059 -87.714003807),41.8571838585,-87.6203346241,POINT (41.8571838585 -87.6203346241)
000000000200000002C055E9F9EB0437A14044FB9FBA049E1FC055F15ACB96498C4044FD4A4931B1B0,2021-01-31T23:15,41.96581197,-87.6558787862,POINT (41.96581197 -87.6558787862),41.9788295262,-87.771166703,POINT (41.9788295262 -87.771166703)
000000000200000002C055F9CB66DCDA964044FD5231506611C055E87EEB20E8054044F0C46D43CE82,2021-01-31T23:15,41.9790708201,-87.9030396611,POINT (41.9790708201 -87.9030396611),41.8809944707,-87.6327464887,POINT (41.8809944707 -87.6327464887)
000000000200000002C055E78C300F63E24044E56BF6246954C055E78B034F45014044E80EB5F99748,2021-01-31T23:15,41.7923572233,-87.6179313803,POINT (41.7923572233 -87.6179313803),41.8129489392,-87.6178596758,POINT (41.8129489392 -87.6178596758)
000000000200000002C055E4A875C727524044E17B628852A3C055E76C0B6EB9954044DEBF0FEE3D3E,2021-01-31T23:15,41.7615779081,-87.5727819867,POINT (41.7615779081 -87.5727819867),41.7402057565,-87.6159695226,POINT (41.7402057565 -87.6159695226)
000000000200000002C055E4A765C44FDD4044DD66097A8246C055EA7712502DA34044EFDF688C41A8,2021-01-31T23:15,41.7296764229,-87.5727171342,POINT (41.7296764229 -87.5727171342),41.874005383,-87.6635175498,POINT (41.874005383 -87.6635175498)
000000000200000002C055EB496AA184564044F35AC0334B01C055EE2E06101B734044FBE9AF5BA2BE,2021-01-31T23:15,41.9012069941,-87.6763559892,POINT (41.9012069941 -87.6763559892),41.968069,-87.7215590627,POINT (41.968069 -87.7215590627)
000000000200000002C055EA2FC91A8B7E4044E78DE8F69805C055E68CE8D920574044E96F6BDD0CA5,2021-01-31T23:15,41.8090182499,-87.6591665992,POINT (41.8090182499 -87.6591665992),41.8237128095,-87.6023504372,POINT (41.8237128095 -87.6023504372)
000000000200000002C055E95CDF4FF96B4044F6EC04400CA8C055EA2F0FD5019C4045009C20048ADD,2021-01-31T23:15,41.9290776551,-87.6462934762,POINT (41.9290776551 -87.6462934762),42.004764559,-87.659122427,POINT (42.004764559 -87.659122427)
000000000200000002C055E923C61E3A864044F15182D9AD94C055E923C61E3A864044F15182D9AD94,2021-01-31T23:15,41.8853000224,-87.6428084655,POINT (41.8853000224 -87.6428084655),41.8853000224,-87.6428084655,POINT (41.8853000224 -87.6428084655)
000000000200000002C055E9F9EB0437A14044FB9FBA049E1FC055EAE403874FE94045013B5292BC33,2021-01-31T23:15,41.96581197,-87.6558787862,POINT (41.96581197 -87.6558787862),42.0096228806,-87.6701668569,POINT (42.0096228806 -87.6701668569)
000000000200000002C055F06311BE9B104044F1FF788BB8F9C055EB496AA184564044F35AC0334B01,2021-01-31T23:15,41.8906088526,-87.7560467111,POINT (41.8906088526 -87.7560467111),41.9012069941,-87.6763559892,POINT (41.9012069941 -87.6763559892)
000000000200000002C055E9B69BA4CD044044F8AA2058F3B4C055E936BA874C7B4044F994020CECF0,2021-01-31T23:15,41.9426918444,-87.6517705068,POINT (41.9426918444 -87.6517705068),41.949829346,-87.6439653703,POINT (41.949829346 -87.6439653703)
000000000200000002C055E80325E754BF4044F07EAADEA50CC055EC00411351B44044FCD266C6BDD2,2021-01-31T23:15,41.8788655841,-87.6251921424,POINT (41.8788655841 -87.6251921424),41.9751709433,-87.6875155152,POINT (41.9751709433 -87.6875155152)
000000000200000002C055ED2D6B28759E4044F080452B4A8AC055EB496AA184564044F35AC0334B01,2021-01-31T23:15,41.8789144956,-87.7058971305,POINT (41.8789144956 -87.7058971305),41.9012069941,-87.6763559892,POINT (41.9012069941 -87.6763559892)
000000000200000002C055E534D491DA614044E285379A9D91C055E7BE590F86734044F14742A31477,2021-01-31T23:15,41.7696904664,-87.5813495087,POINT (41.7696904664 -87.5813495087),41.8849871918,-87.6209929134,POINT (41.8849871918 -87.6209929134)
000000000200000002C055E7B38FFEC5804044EDB8335F7553C055E8881E6E7AE94044F3262977142B,2021-01-31T23:15,41.8571838585,-87.6203346241,POINT (41.8571838585 -87.6203346241),41.899602111,-87.6333080367,POINT (41.899602111 -87.6333080367)
000000000200000002C055E68CE8D920574044E96F6BDD0CA5C055E61342261F8C4044E3B23CA94CC2,2021-01-31T23:15,41.8237128095,-87.6023504372,POINT (41.8237128095 -87.6023504372),41.7788768603,-87.5949254391,POINT (41.7788768603 -87.5949254391)
000000000200000002C055E870757DDEE84044F22E6FCD75F3C055E87EEB20E8054044F0C46D43CE82,2021-01-31T23:15,41.8920421365,-87.6318639497,POINT (41.8920421365 -87.6318639497),41.8809944707,-87.6327464887,POINT (41.8809944707 -87.6327464887)
000000000200000002C055EC926514D7A84044E5D0ABC130DAC055EDB23D0612354044EB673321ABD1,2021-01-31T23:15,41.795430631,-87.6964352325,POINT (41.795430631 -87.6964352325),41.8390869059,-87.714003807,POINT (41.8390869059 -87.714003807)
000000000200000002C055E87EEB20E8054044F0C46D43CE82C055F0A0C5259FB34044F0343211C424,2021-01-31T23:15,41.8809944707,-87.6327464887,POINT (41.8809944707 -87.6327464887),41.8765928828,-87.7598126285,POINT (41.8765928828 -87.7598126285)
000000000200000002C055EAB974A2B69B4044ECD5873E12D9C055EC85CC1EF4594044E2CBEEA12005,2021-01-31T23:15,41.8502663663,-87.667569312,POINT (41.8502663663 -87.667569312),41.7718485152,-87.695666342,POINT (41.7718485152 -87.695666342)
000000000200000002C055E813D55744664044F31787F8C8AEC055E9CB1BE743194044FAA4D1A7D135,2021-01-31T23:15,41.8991556134,-87.6262105324,POINT (41.8991556134 -87.6262105324),41.9581548757,-87.6530217894,POINT (41.9581548757 -87.6530217894)
000000000200000002C055EEBC20CB9D3A4044F075C7A82BCBC055E34A997E0D444044DEE10AAEA714,2021-01-31T23:15,41.8785943576,-87.7302324284,POINT (41.8785943576 -87.7302324284),41.7412427285,-87.551428197,POINT (41.7412427285 -87.551428197)
000000000200000002C055E47BD5AD1CE34044D866AC6BE021C055E61342261F8C4044E3B23CA94CC2,2021-01-31T23:15,41.6906333472,-87.5700582686,POINT (41.6906333472 -87.5700582686),41.7788768603,-87.5949254391,POINT (41.7788768603 -87.5949254391)
000000000200000002C055E4A875C727524044E17B628852A3C055E91EADF2A9F24044E37B2AB80A54,2021-01-31T23:15,41.7615779081,-87.5727819867,POINT (41.7615779081 -87.5727819867),41.7771962546,-87.6424975271,POINT (41.7771962546 -87.6424975271)
